airport_id,mean_d_delay,mean_arr_delay,dep_flight_count,arr_flight_count,dep_late_count,arr_late_count,dep_late_perc,arr_late_perc,dep_taxi,arr_taxi
11278,14.88,13.68,7407,7394,3514,3429,0.474,0.464,21.636695018226003,7.336624289964837
13303,13.51,11.09,5000,4720,2319,2129,0.464,0.451,20.0572,9.598305084745762
13930,16.39,18.51,22275,20156,11618,10106,0.522,0.501,24.73818181818182,15.320996229410598
11298,13.42,13.09,17049,14867,8241,6974,0.483,0.469,19.705026687782276,12.5777224725903
12953,21.29,21.5,7914,8820,4398,4758,0.556,0.539,30.610816274955774,9.655328798185941
13204,16.19,13.25,8099,7943,3713,3713,0.458,0.467,16.535868625756265,9.776910487221453
12478,20.35,18.02,5334,5714,2897,2830,0.543,0.495,31.167979002624673,11.17150857542877
11057,12.52,9.6,15462,13668,7258,5896,0.469,0.431,21.770598887595394,13.389010828211882
14747,9.11,10.85,10228,10425,4808,5420,0.47,0.52,20.882088384825966,10.632230215827338
14679,10.48,7.62,5726,5903,2494,2600,0.436,0.44,17.40953545232274,4.401829578180586
14831,9.89,7.55,4107,3944,1695,1633,0.413,0.414,13.836863890917945,4.788793103448276
12892,12.34,10.72,13099,13165,5751,6254,0.439,0.475,19.32086418810596,12.535738701101405
14771,16.21,20.76,9703,9204,4889,4995,0.504,0.543,23.77481191384108,9.368209474141677
14869,9.17,6.33,6411,6539,2565,2645,0.4,0.404,19.39837778817657,7.448539532038538
14893,8.04,6.93,3326,3376,1282,1374,0.385,0.407,12.843355381840048,4.928317535545023
14570,8.74,9.1,1299,1338,508,579,0.391,0.433,14.714395688991532,4.650971599402093
13891,9.09,6.87,1377,1426,531,585,0.386,0.41,11.216412490922295,4.467040673211781
11638,11.14,11.7,686,773,268,301,0.391,0.389,16.07725947521866,5.351875808538163
14100,14.99,14.88,8197,7899,4058,3701,0.495,0.469,24.860436745150665,8.712748449170782
12889,12.75,9.35,9807,9939,4328,4408,0.441,0.444,16.185479759355562,7.080893450045276
14908,8.35,6.37,2701,2738,1070,1141,0.396,0.417,14.317660125879303,5.829072315558802
13796,10.19,6.2,3395,3293,1445,1351,0.426,0.41,12.667452135493372,6.3109626480413
10800,12.03,6.84,1787,1916,768,759,0.43,0.396,14.121992165640739,3.2609603340292277
10713,6.81,7.74,1481,1454,595,586,0.402,0.403,14.604321404456448,3.9944979367262725
10397,10.91,7.95,21495,19637,8368,7580,0.389,0.386,17.6402884391719,9.391505830829557
14057,5.45,6.2,5229,4904,2056,1997,0.393,0.407,13.895964811627461,4.962479608482871
11292,14.59,11.93,15832,15064,7534,6893,0.476,0.458,18.926478019201618,9.337626128518322
14262,14.17,11.68,625,732,253,357,0.405,0.488,16.0352,5.622950819672131
11884,6.78,6.34,1121,1274,437,523,0.39,0.411,15.524531668153434,3.9968602825745685
11618,24.96,27.92,8366,8674,4875,5097,0.583,0.588,27.162323691130766,10.654830528014756
10721,19.25,19.88,7607,8032,3906,4159,0.513,0.518,21.729065334560275,9.02602091633466
14122,11.63,11.24,2510,2733,1101,1185,0.439,0.434,16.764541832669323,6.024515184778632
10423,11.8,9.89,3895,3828,1636,1726,0.42,0.451,14.217715019255456,6.653866248693835
12266,12.52,12.98,10108,9664,4472,4535,0.442,0.469,20.653739612188367,9.019350165562914
14683,11.85,8.53,2266,2356,874,1031,0.386,0.438,12.804060017652251,4.34295415959253
15016,14.05,10.23,4481,4342,2110,1929,0.471,0.444,13.09372907833073,5.2388300322432055
13487,11.08,10.54,8075,8092,3437,3402,0.426,0.42,21.521981424148606,6.356030647553139
13198,9.76,8.99,3109,3221,1240,1391,0.399,0.432,13.804438726278546,5.327848494256442
15304,13.39,12.58,4420,4545,1886,2025,0.427,0.446,14.129411764705882,5.225962596259626
13495,13.66,10.33,3250,3305,1443,1445,0.444,0.437,12.823384615384615,5.832980332829047
13871,9.14,10.57,1381,1474,587,684,0.425,0.464,15.908037653874004,4.5271370420624155
15376,8.5,10.74,1103,1216,414,574,0.375,0.472,15.392565729827743,4.708881578947368
11540,10.87,9.82,1084,1177,438,530,0.404,0.45,14.477859778597786,3.8343245539507222
10140,12.06,9.49,1541,1703,627,746,0.407,0.438,13.593121349772876,5.597181444509689
14635,13.6,10.55,1809,1883,771,872,0.426,0.463,13.834715312327253,5.607010090281466
14843,16.17,16.13,1451,1609,652,859,0.449,0.534,14.235699517574087,6.29894344313238
11697,15.99,12.87,5628,5567,2650,2692,0.471,0.484,18.664712153518124,7.417100772408838
10529,12.5,11.36,1439,1755,621,788,0.432,0.449,14.90271021542738,5.614814814814815
14107,10.72,9.19,10860,10755,4720,4783,0.435,0.445,15.645764272559852,7.983356578335658
14492,15.56,13.65,3626,3667,1624,1711,0.448,0.467,19.426089354660782,6.602127079356422
10693,13.88,9.56,4543,4654,2022,1959,0.445,0.421,14.074840413823464,6.5485603781693165
10821,14.29,8.07,5863,6251,2649,2520,0.452,0.403,14.976121439536074,5.7035674292113265
11433,12.78,8.63,9359,9069,3875,3478,0.414,0.384,20.235388396196175,8.955562906604918
10792,16.16,13.55,1439,1566,636,737,0.442,0.471,16.276580958999304,4.807151979565773
14027,19.94,19.68,1382,1369,659,720,0.477,0.526,15.48697539797395,5.003652300949598
11042,13.28,11.92,2638,2772,1168,1221,0.443,0.44,17.01819560272934,7.260822510822511
14307,13.38,13.89,998,1122,433,527,0.434,0.47,14.635270541082164,4.790552584670232
13931,17.55,13.34,1291,1386,576,634,0.446,0.457,16.889233152594887,4.801587301587301
14524,19.35,14.5,1490,1618,722,770,0.485,0.476,19.364429530201342,6.96168108776267
14986,10.4,9.25,440,377,171,181,0.389,0.48,14.040909090909091,4.69761273209549
12323,12.07,9.27,438,553,176,251,0.402,0.454,15.547945205479452,4.93128390596745
10994,12.22,13.16,1383,1434,596,683,0.431,0.476,16.168474331164138,6.628312412831241
15370,9.92,11.36,1004,1078,396,491,0.394,0.455,15.5199203187251,4.813543599257885
12451,13.54,11.66,1820,1904,752,870,0.413,0.457,14.546703296703297,5.762605042016807
13244,12.31,11.77,1352,1386,585,641,0.433,0.462,15.835798816568047,5.528860028860029
13577,12.1,8.19,656,757,262,310,0.399,0.41,13.96951219512195,5.58784676354029
12264,13.32,13.3,4726,5054,2188,2196,0.463,0.435,23.31908590774439,6.428373565492679
15096,15.17,16.33,837,911,403,436,0.481,0.479,19.65232974910394,4.970362239297475
10257,13.05,12.29,880,994,395,470,0.449,0.473,16.572727272727274,4.472837022132797
13851,10.06,10.77,1379,1501,585,684,0.424,0.456,14.48150833937636,5.313124583610926
13360,5.94,3.47,122,162,42,56,0.344,0.346,15.418032786885245,4.555555555555555
14321,20.99,17.21,738,804,373,408,0.505,0.507,18.09349593495935,4.534825870646766
13230,14.17,10.97,554,651,246,290,0.444,0.445,17.987364620938628,5.708141321044547
13296,11.02,9.19,545,689,214,294,0.393,0.427,15.119266055045872,4.925979680696662
14730,15.2,14.56,1437,1523,663,728,0.461,0.478,16.313152400835072,7.573210768220617
12339,11.75,11.74,2791,2707,1188,1197,0.426,0.442,15.456467216051594,6.2796453638714445
11066,12.27,11.66,2582,2717,1123,1220,0.435,0.449,16.06351665375678,6.193595877806404
15919,13.53,9.05,750,848,340,366,0.453,0.432,17.11466666666667,6.952830188679245
15380,18.69,10.38,272,327,129,133,0.474,0.407,18.63235294117647,5.6452599388379205
12992,10.42,10.05,756,921,346,418,0.458,0.454,15.350529100529101,5.947882736156352
12278,13.03,11.01,544,648,231,310,0.425,0.478,15.180147058823529,4.554012345679013
13158,9.63,10.83,579,594,227,259,0.392,0.436,13.827288428324698,4.34006734006734
12206,8.36,8.14,257,241,103,111,0.401,0.461,12.256809338521402,3.08298755186722
10781,15.05,7.27,331,348,143,138,0.432,0.397,17.619335347432024,4.525862068965517
10747,13.89,10.48,133,145,53,63,0.398,0.434,17.353383458646615,4.731034482758621
14193,8.65,7.96,583,718,206,303,0.353,0.422,13.437392795883362,4.729805013927576
10599,13.62,12.77,1076,1114,450,500,0.418,0.449,15.07899628252788,3.893177737881508
12124,9.72,16.54,97,98,46,51,0.474,0.52,19.556701030927837,7.683673469387755
11624,10.25,3.08,314,304,112,99,0.357,0.326,12.168789808917197,5.355263157894737
14689,19.23,10.98,404,419,181,181,0.448,0.432,16.715346534653467,4.644391408114559
11109,16.62,17.75,592,605,276,317,0.466,0.524,21.72804054054054,7.8148760330578515
12441,15.34,10.09,219,274,106,120,0.484,0.438,21.027397260273972,4.302919708029197
10849,11.19,11.07,387,465,173,212,0.447,0.456,17.087855297157624,5.815053763440861
15624,8.79,9.31,442,460,165,186,0.373,0.404,16.056561085972852,8.747826086956522
11503,23.32,16.4,109,143,63,70,0.578,0.49,22.422018348623855,7.0
13342,12.22,12.17,1936,1964,861,890,0.445,0.453,15.287706611570249,5.387983706720978
11423,11.97,12.2,930,915,395,419,0.425,0.458,16.429032258064517,5.903825136612022
11986,15.45,13.84,1056,1136,467,544,0.442,0.479,17.421401515151516,6.722711267605634
10620,6.93,9.19,248,344,96,144,0.387,0.419,15.379032258064516,3.877906976744186
15027,8.73,18.78,41,54,16,28,0.39,0.519,12.829268292682928,4.074074074074074
12173,1.51,4.0,3533,3360,1205,1257,0.341,0.374,15.30043165467626,7.829742033383915
12758,0.08,1.05,933,987,268,319,0.287,0.323,11.21137339055794,5.716751269035533
13830,2.52,4.22,1677,1639,679,627,0.405,0.383,10.308612440191387,6.940745265729994
12982,0.92,1.23,895,932,315,293,0.352,0.314,9.651396648044694,6.114806866952789
10299,1.62,5.47,1009,997,384,426,0.381,0.427,14.983151635282457,4.417251755265798
14576,18.41,14.48,858,960,414,454,0.483,0.473,17.933566433566433,6.321875
11995,20.24,15.78,815,926,387,466,0.475,0.503,20.94478527607362,6.431965442764579
10785,16.99,15.06,550,656,262,298,0.476,0.454,20.35272727272727,5.553353658536586
10581,20.86,17.53,220,294,111,150,0.505,0.51,19.71818181818182,4.931972789115647
14457,18.71,17.3,306,319,146,170,0.477,0.533,18.094771241830067,6.780564263322884
11775,16.09,13.43,454,425,224,206,0.493,0.485,22.191629955947135,6.211764705882353
15412,13.74,12.32,968,1052,433,461,0.447,0.438,17.708677685950413,5.226235741444867
14685,15.72,13.44,1010,1000,458,466,0.453,0.466,16.248514851485147,5.785
11996,15.95,14.43,844,910,369,421,0.437,0.463,17.781990521327014,4.124175824175824
11193,13.75,13.59,2815,2821,1307,1273,0.464,0.451,16.84653641207815,6.401985111662531
13485,13.65,11.74,814,834,382,371,0.469,0.445,16.73832923832924,5.339328537170264
10868,10.6,14.35,526,616,225,268,0.428,0.435,17.005703422053234,4.930194805194805
12945,13.98,11.61,645,701,282,309,0.437,0.441,18.54263565891473,5.139800285306705
11267,14.44,15.05,811,883,380,428,0.469,0.485,18.061652281134403,5.223103057757644
13232,17.93,7.05,5037,5014,2543,2126,0.505,0.424,12.529481834425253,5.9936178699641
10469,16.82,7.68,171,219,83,75,0.485,0.342,20.86549707602339,3.894977168949772
13184,10.76,16.27,146,168,59,73,0.404,0.435,19.075342465753426,4.845238095238095
11140,11.26,10.74,334,329,135,161,0.404,0.489,13.994011976047904,4.702127659574468
12244,28.48,7.88,29,41,16,17,0.552,0.415,13.862068965517242,4.0
11003,15.19,11.63,549,545,266,251,0.485,0.461,18.62112932604736,6.438532110091743
11977,7.86,13.98,323,339,123,153,0.381,0.451,18.597523219814242,4.669616519174041
11637,13.8,14.62,363,399,166,187,0.457,0.469,20.65840220385675,6.5664160401002505
10990,17.68,12.93,430,469,200,223,0.465,0.475,17.834883720930232,4.300639658848614
11203,9.15,13.65,190,181,78,70,0.411,0.387,17.352631578947367,3.983425414364641
10408,13.08,15.73,316,366,149,170,0.472,0.464,20.174050632911392,5.147540983606557
14633,14.09,12.12,228,240,108,110,0.474,0.458,20.399122807017545,4.304166666666666
10208,13.61,12.42,259,276,114,115,0.44,0.417,18.254826254826256,5.4855072463768115
11146,16.89,12.37,241,281,112,113,0.465,0.402,18.145228215767634,3.832740213523132
15249,8.38,9.36,350,379,123,144,0.351,0.38,13.434285714285714,4.588390501319261
10874,20.39,17.86,380,436,194,197,0.511,0.452,19.28684210526316,5.5504587155963305
12197,27.79,17.73,557,661,303,328,0.544,0.496,18.79174147217235,6.012102874432678
12217,14.36,11.01,557,582,253,237,0.454,0.407,16.991023339317774,5.484536082474227
10980,11.4,11.59,450,549,177,230,0.393,0.419,17.842222222222222,5.548269581056466
13795,15.25,13.04,187,225,87,100,0.465,0.444,18.97326203208556,3.591111111111111
11973,4.28,5.97,229,231,97,90,0.424,0.39,14.563318777292576,4.70995670995671
12448,13.7,6.75,440,478,170,175,0.386,0.366,15.163636363636364,4.7761506276150625
10431,13.95,11.95,505,596,247,276,0.489,0.463,19.8,5.85738255033557
11252,14.03,7.11,177,167,61,68,0.345,0.407,15.169491525423728,3.8802395209580838
13422,16.17,8.31,367,369,166,151,0.452,0.409,15.762942779291553,4.853658536585366
11617,8.17,8.11,112,142,41,56,0.366,0.394,14.553571428571429,3.880281690140845
10135,15.2,12.14,302,351,141,157,0.467,0.447,16.21523178807947,5.111111111111111
11641,9.55,7.38,245,253,98,108,0.4,0.427,17.453061224489797,4.91699604743083
11953,13.19,6.42,293,330,119,131,0.406,0.397,14.324232081911262,4.275757575757575
14098,20.8,11.91,212,205,98,88,0.462,0.429,15.54245283018868,4.926829268292683
13139,8.39,17.17,79,107,33,48,0.418,0.449,22.88607594936709,4.803738317757009
10434,15.3,12.49,270,329,128,154,0.474,0.468,17.55185185185185,4.729483282674772
11481,12.76,7.66,307,279,108,112,0.352,0.401,12.439739413680782,4.2831541218638
12191,14.41,8.08,3739,3472,1670,1546,0.447,0.445,11.342070072211822,5.645161290322581
11648,10.83,12.05,211,239,97,115,0.46,0.481,18.161137440758292,4.2133891213389125
13486,8.41,11.43,292,296,115,148,0.394,0.5,14.736301369863014,6.851351351351352
10627,13.74,7.6,265,278,113,107,0.426,0.385,18.505660377358492,4.884892086330935
12523,2.05,3.41,273,246,101,85,0.37,0.346,14.871794871794872,4.2073170731707314
12003,13.3,8.32,151,155,73,48,0.483,0.31,15.417218543046358,4.122580645161291
11259,15.26,7.27,4728,4385,2240,1865,0.474,0.425,12.454103214890017,5.1489167616875715
15323,11.32,5.32,203,238,91,83,0.448,0.349,17.95566502463054,4.5966386554621845
14574,22.58,12.68,361,390,200,180,0.554,0.462,21.573407202216067,6.546153846153846
14252,5.47,6.88,274,340,121,155,0.442,0.456,15.065693430656934,5.220588235294118
11612,11.94,13.02,240,297,99,135,0.412,0.455,20.408333333333335,4.454545454545454
12951,11.62,7.94,260,298,115,112,0.442,0.376,18.142307692307693,5.365771812080537
11721,19.57,10.76,229,273,108,114,0.472,0.418,15.065502183406114,4.6923076923076925
14696,21.68,18.89,339,374,168,165,0.496,0.441,19.218289085545724,5.294117647058823
12884,12.77,12.19,242,243,100,109,0.413,0.449,18.929752066115704,4.707818930041152
11630,0.79,3.41,241,283,83,99,0.344,0.35,14.738589211618256,3.625441696113074
12094,15.25,17.46,76,102,39,59,0.513,0.578,22.88157894736842,6.098039215686274
15024,17.75,8.94,148,205,80,85,0.541,0.415,13.824324324324325,4.029268292682927
11413,8.51,11.32,223,218,107,101,0.48,0.463,21.201793721973093,4.844036697247707
