route_key,route_dep_delay,route_arr_delay,route_count,route_var
9E_10135_10397,33.61290322580645,31.516129032258064,31,-2.0967741935483843
9E_10146_10397,9.478260869565217,10.869565217391305,23,1.3913043478260878
9E_10185_10397,9.481481481481481,8.018518518518519,54,-1.462962962962962
9E_10208_10397,5.792207792207792,3.0253164556962027,79,-2.7668913365115895
9E_10257_11433,-4.375,-6.0,8,-1.625
9E_10397_10135,9.0,2.16,25,-6.84
9E_10397_10146,-1.4545454545454546,-1.4545454545454546,11,0.0
9E_10397_10185,12.56140350877193,9.24561403508772,57,-3.3157894736842106
9E_10397_10208,9.126582278481013,7.582278481012659,79,-1.5443037974683547
9E_10397_10257,48.5,39.0,2,-9.5
9E_10397_10408,11.285714285714286,7.285714285714286,21,-4.000000000000001
9E_10397_10431,2.4827586206896552,2.0172413793103448,58,-0.4655172413793105
9E_10397_10599,9.333333333333334,0.6666666666666666,3,-8.666666666666668
9E_10397_10685,8.882352941176471,6.019607843137255,51,-2.862745098039216
9E_10397_10731,3.8518518518518516,2.357142857142857,28,-1.4947089947089944
9E_10397_10781,8.566037735849056,5.547169811320755,53,-3.018867924528301
9E_10397_10785,47.0,46.5,4,-0.5
9E_10397_10868,14.027777777777779,12.0,36,-2.0277777777777786
9E_10397_10874,6.433333333333334,1.0,30,-5.433333333333334
9E_10397_10980,5.9523809523809526,4.357142857142857,42,-1.5952380952380958
9E_10397_10990,8.46774193548387,2.903225806451613,62,-5.564516129032257
9E_10397_10994,37.0,38.0,2,1.0
9E_10397_11003,5.238095238095238,2.1904761904761907,21,-3.0476190476190474
9E_10397_11146,-0.2,-3.8666666666666667,15,-3.6666666666666665
9E_10397_11150,2.3376623376623376,4.2727272727272725,77,1.935064935064935
9E_10397_11423,-1.6666666666666667,1.0,3,2.666666666666667
9E_10397_11537,-5.5,-11.0,2,-5.5
9E_10397_11612,4.075,0.3,40,-3.7750000000000004
9E_10397_11617,7.0,2.2777777777777777,36,-4.722222222222222
9E_10397_11624,1.5,-4.875,8,-6.375
9E_10397_11641,-2.269230769230769,-1.2692307692307692,26,1.0
9E_10397_11721,19.46511627906977,17.441860465116278,43,-2.02325581395349
9E_10397_11778,-1.6,-2.272727272727273,11,-0.6727272727272728
9E_10397_11823,-4.5,11.0,2,15.5
9E_10397_11953,7.2444444444444445,5.4945054945054945,91,-1.74993894993895
9E_10397_11973,3.5555555555555554,-0.6388888888888888,36,-4.194444444444445
9E_10397_11977,10.071428571428571,7.866666666666666,15,-2.204761904761905
9E_10397_11995,33.0,22.5,2,-10.5
9E_10397_11996,1.1428571428571428,1.5714285714285714,7,0.4285714285714286
9E_10397_12007,15.608695652173912,11.041666666666666,24,-4.567028985507246
9E_10397_12197,11.20253164556962,8.098765432098766,81,-3.1037662134708537
9E_10397_12217,34.625,33.375,8,-1.25
9E_10397_12266,1.25,-2.0833333333333335,12,-3.3333333333333335
9E_10397_12323,0.6888888888888889,-1.511111111111111,45,-2.2
9E_10397_12448,-2.6,-3.0,5,-0.3999999999999999
9E_10397_12945,8.753424657534246,4.561643835616438,73,-4.191780821917808
9E_10397_12951,5.518518518518518,3.3333333333333335,27,-2.1851851851851847
9E_10397_12992,-2.0,-4.0,2,-2.0
9E_10397_13029,16.375,14.875,16,-1.5
9E_10397_13230,5.0,-3.0,2,-8.0
9E_10397_13232,13.0,7.0,1,-6.0
9E_10397_13277,24.571428571428573,22.035714285714285,28,-2.5357142857142883
9E_10397_13367,3.2564102564102564,1.4102564102564104,39,-1.846153846153846
9E_10397_13422,2.607142857142857,0.896551724137931,29,-1.7105911330049262
9E_10397_13577,1.6666666666666667,-1.5,6,-3.166666666666667
9E_10397_13795,10.575,7.493827160493828,81,-3.0811728395061717
9E_10397_13871,40.0,34.0,1,-6.0
9E_10397_14098,27.333333333333332,26.791666666666668,24,-0.5416666666666643
9E_10397_14108,1.75,-7.75,4,-9.5
9E_10397_14457,40.0,30.0,1,-10.0
9E_10397_14574,2.5555555555555554,-3.611111111111111,18,-6.166666666666666
9E_10397_14633,4.545454545454546,-1.1818181818181819,11,-5.7272727272727275
9E_10397_14685,-3.5,-6.25,4,-2.75
9E_10397_14696,31.833333333333332,28.166666666666668,6,-3.6666666666666643
9E_10397_14730,-4.0,-9.0,1,-5.0
9E_10397_14783,23.964912280701753,20.666666666666668,57,-3.2982456140350855
9E_10397_14814,15.408163265306122,13.857142857142858,49,-1.5510204081632644
9E_10397_15249,14.592592592592593,11.678571428571429,56,-2.9140211640211646
9E_10397_15323,-1.7586206896551724,-2.129032258064516,31,-0.37041156840934364
9E_10397_15370,11.96551724137931,9.96551724137931,29,-2.0
9E_10397_15380,-6.5,-9.5,2,-3.0
9E_10397_15412,9.21774193548387,5.062992125984252,127,-4.154749809499618
9E_10397_15607,-0.6,-0.7333333333333333,15,-0.1333333333333333
9E_10397_15624,-3.0,-10.0,3,-7.0
9E_10397_15919,8.662162162162161,4.693333333333333,75,-3.968828828828828
9E_10408_10397,16.375,14.6875,16,-1.6875
9E_10408_11433,-3.0,-9.0,1,-6.0
9E_10408_13487,9.538461538461538,4.384615384615385,13,-5.153846153846153
9E_10423_11193,42.714285714285715,37.285714285714285,7,-5.428571428571431
9E_10423_11433,28.666666666666668,20.333333333333332,3,-8.333333333333336
9E_10423_14492,2.8,-1.4,5,-4.199999999999999
9E_10431_10397,14.272727272727273,16.266666666666666,45,1.9939393939393923
9E_10434_11433,4.8,3.4,5,-1.4
9E_10529_11042,8.8125,13.25,16,4.4375
9E_10529_11193,50.57142857142857,46.142857142857146,7,-4.4285714285714235
9E_10529_11433,-2.0,-12.0,1,-10.0
9E_10529_13487,39.0,38.857142857142854,7,-0.1428571428571459
9E_10529_14492,6.75,9.25,12,2.5
9E_10581_12478,-5.0,-12.333333333333334,3,-7.333333333333334
9E_10581_12953,15.105263157894736,21.07894736842105,38,5.973684210526315
9E_10599_10397,-3.4,-4.0,5,-0.6000000000000001
9E_10599_11433,-0.2857142857142857,-7.285714285714286,7,-7.0
9E_10599_12953,11.625,12.875,8,1.25
9E_10627_13487,-6.0,-3.5,2,2.5
9E_10685_10397,10.974358974358974,11.05,40,0.07564102564102626
9E_10685_13487,10.0,7.0,1,-3.0
9E_10693_10721,30.214285714285715,23.928571428571427,14,-6.285714285714288
9E_10693_11433,26.5,26.5,2,0.0
9E_10693_12478,26.136363636363637,18.043478260869566,23,-8.09288537549407
9E_10693_12953,24.129032258064516,23.548387096774192,31,-0.5806451612903238
9E_10693_13204,0.0,9.0,1,9.0
9E_10721_10693,17.363636363636363,16.818181818181817,11,-0.5454545454545467
9E_10721_10792,33.916666666666664,34.07692307692308,13,0.1602564102564159
9E_10721_10994,27.0,15.0,1,-12.0
9E_10721_11042,22.666666666666668,17.6,15,-5.066666666666666
9E_10721_11193,20.025641025641026,22.58974358974359,39,2.5641025641025657
9E_10721_11618,5.0,-7.0,1,-12.0
9E_10721_12339,-7.0,-8.0,1,-1.0
9E_10721_12451,21.545454545454547,30.363636363636363,11,8.818181818181817
9E_10721_12478,23.96551724137931,23.46590909090909,88,-0.49960815047021967
9E_10721_13198,16.25,13.125,8,-3.125
9E_10721_13342,78.0,62.0,1,-16.0
9E_10721_13931,15.0,10.333333333333334,9,-4.666666666666666
9E_10721_14027,12.5,-4.5,2,-17.0
9E_10721_14100,20.357142857142858,16.571428571428573,14,-3.7857142857142847
9E_10721_14122,17.266666666666666,16.466666666666665,30,-0.8000000000000007
9E_10721_14492,19.0,17.09090909090909,22,-1.90909090909091
9E_10721_14524,36.2,34.2,5,-2.0
9E_10721_14635,-5.0,-7.0,1,-2.0
9E_10721_14685,-2.0,27.0,1,29.0
9E_10731_10397,5.55,6.15,20,0.6000000000000005
9E_10781_10397,18.220338983050848,16.050847457627118,59,-2.16949152542373
9E_10785_10397,23.75,20.5,8,-3.25
9E_10785_11433,13.902439024390244,12.214285714285714,42,-1.6881533101045303
9E_10785_12478,8.685714285714285,11.444444444444445,36,2.7587301587301596
9E_10785_12953,18.862068965517242,16.82758620689655,29,-2.0344827586206904
9E_10792_10721,4.647058823529412,1.0,17,-3.647058823529412
9E_10792_11433,13.363636363636363,14.636363636363637,11,1.2727272727272734
9E_10792_12478,9.308823529411764,10.308823529411764,68,1.0
9E_10792_12953,29.03921568627451,30.137254901960784,51,1.0980392156862742
9E_10821_11193,19.53125,19.6875,32,0.15625
9E_10821_11433,-3.0,-8.0,1,-5.0
9E_10821_12478,18.9,20.770491803278688,61,1.8704918032786892
9E_10821_14492,6.051282051282051,8.461538461538462,39,2.4102564102564106
9E_10868_10397,19.204545454545453,21.59090909090909,44,2.3863636363636367
9E_10868_12953,5.916666666666667,0.9166666666666666,12,-5.0
9E_10874_10397,19.31578947368421,20.894736842105264,19,1.5789473684210549
9E_10980_10397,-1.6764705882352942,-2.5,34,-0.8235294117647058
9E_10980_11433,10.375,0.0,8,-10.375
9E_10980_12953,42.90909090909091,44.18181818181818,11,1.2727272727272734
9E_10990_10397,22.137931034482758,24.517241379310345,29,2.379310344827587
9E_10990_12953,-2.2083333333333335,5.583333333333333,24,7.791666666666666
9E_10994_10397,1.4,1.2,5,-0.19999999999999996
9E_10994_10721,83.0,94.0,1,11.0
9E_10994_11433,-5.0,-12.0,1,-7.0
9E_10994_12478,25.666666666666668,30.666666666666668,6,5.0
9E_10994_12953,19.6,8.0,10,-11.600000000000001
9E_11003_10397,10.473684210526315,17.95,20,7.476315789473684
9E_11003_11433,35.375,34.875,8,-0.5
9E_11003_13487,-1.0,-4.0,1,-3.0
9E_11042_10529,20.214285714285715,17.2,15,-3.014285714285716
9E_11042_10721,2.875,1.25,8,-1.625
9E_11042_11433,1.8888888888888888,-0.918918918918919,37,-2.8078078078078077
9E_11042_12478,26.73469387755102,23.58,50,-3.154693877551022
9E_11042_12953,27.65,25.75609756097561,41,-1.8939024390243873
9E_11042_13487,3.75,-0.5625,16,-4.3125
9E_11042_14492,-3.0,-9.0,1,-6.0
9E_11057_11193,28.8,24.15,20,-4.650000000000002
9E_11057_11433,-1.2857142857142858,-1.7142857142857142,7,-0.4285714285714284
9E_11057_12478,14.586206896551724,14.633333333333333,30,0.04712643678160866
9E_11057_12953,23.26865671641791,28.13235294117647,68,4.863696224758559
9E_11057_13487,-4.0,-12.0,1,-8.0
9E_11066_11433,-1.0,-1.6666666666666667,15,-0.6666666666666667
9E_11066_12478,8.5,7.0,2,-1.5
9E_11066_12953,31.142857142857142,34.714285714285715,7,3.571428571428573
9E_11066_13487,7.714285714285714,9.0,7,1.2857142857142856
9E_11066_14492,-8.0,-8.666666666666666,3,-0.6666666666666661
9E_11146_10397,18.928571428571427,19.071428571428573,14,0.1428571428571459
9E_11150_10397,12.212121212121213,9.447761194029852,67,-2.7643600180913612
9E_11193_10423,29.75,28.5,8,-1.25
9E_11193_10529,1.2222222222222223,-4.444444444444445,9,-5.666666666666667
9E_11193_10721,16.714285714285715,20.214285714285715,42,3.5
9E_11193_10821,19.096153846153847,17.22641509433962,53,-1.869738751814225
9E_11193_11057,6.107142857142857,2.25,28,-3.8571428571428568
9E_11193_11278,10.419354838709678,9.28125,32,-1.138104838709678
9E_11193_11298,21.5,18.529411764705884,34,-2.970588235294116
9E_11193_11433,5.34375,3.5,64,-1.84375
9E_11193_11618,47.25,44.82142857142857,28,-2.4285714285714306
