tail_num,fl_date_count,is_late_sum,arr_delay_median,arr_delay_mean,arr_delay_std,arr_time_median,arr_time_mean,late_perc_
215NV,58,29,-0.5,10.89655172413793,36.34710329208296,1305.5,1426.3793103448277,0.5
216NV,75,30,-2.0,6.906666666666666,28.57430963595046,1415.0,1450.2,0.4
217NV,84,44,1.5,17.5,46.1345596094885,1410.5,1413.8095238095239,0.524
218NV,89,37,-3.0,10.730337078651685,39.448402446321,1406.0,1435.573033707865,0.416
219NV,64,27,-2.0,10.421875,33.079895917141116,1420.5,1497.9375,0.422
220NV,71,39,1.0,13.169014084507042,39.883754628918766,1500.0,1516.394366197183,0.549
221NV,71,32,0.0,30.619718309859156,69.76949112146431,1348.0,1397.943661971831,0.451
222NV,77,41,5.0,18.350649350649352,40.217751459617084,1551.0,1543.857142857143,0.532
223NV,110,58,1.0,12.4,36.14907970201666,1533.0,1529.0727272727272,0.527
224NV,97,45,0.0,27.54639175257732,60.93576204676471,1451.0,1450.1546391752577,0.464
225NV,91,48,2.0,20.47252747252747,44.17851178503983,1610.0,1569.868131868132,0.527
226NV,55,28,1.0,15.872727272727273,38.14254674315641,1315.0,1409.7818181818182,0.509
227NV,65,34,3.0,17.26153846153846,37.312144857219806,1402.0,1509.4615384615386,0.523
228NV,86,38,-1.0,14.418604651162791,37.612721601412865,1422.0,1460.1511627906978,0.442
229NV,65,39,7.0,19.923076923076923,43.098472889240696,1524.0,1502.4923076923078,0.6
230NV,96,45,-0.5,16.0,48.53365625495039,1481.0,1473.6979166666667,0.469
231NV,75,39,1.0,17.453333333333333,39.963596047015194,1506.0,1518.0133333333333,0.52
232NV,56,21,-4.0,6.160714285714286,29.48267706218767,1416.5,1448.25,0.375
233NV,89,48,2.0,27.719101123595507,65.59067089360919,1708.0,1595.247191011236,0.539
234NV,79,33,-2.0,10.468354430379748,36.36842651610575,1408.0,1409.5316455696202,0.418
235NV,59,35,5.0,18.16949152542373,45.90325378835018,1620.0,1535.8305084745762,0.593
240NV,94,43,0.0,14.117021276595745,42.48031963890101,1446.0,1459.4574468085107,0.457
241NV,62,35,2.0,16.5,45.39255012176973,1509.0,1524.0483870967741,0.565
242NV,46,26,4.0,23.52173913043478,52.746664615114035,1469.0,1462.8260869565217,0.565
243NV,29,14,0.0,29.862068965517242,60.27420920730941,1412.0,1406.0,0.483
244NV,25,15,7.0,27.64,71.91075487482152,1518.0,1493.8,0.6
245NV,14,8,3.5,12.0,31.84095089418898,1513.5,1460.7857142857142,0.571
246NV,80,36,0.0,14.6625,47.65459685346024,1531.0,1511.475,0.45
247NV,93,50,2.0,13.086021505376344,41.53852478854092,1418.0,1444.5483870967741,0.538
248NV,76,33,0.0,7.7631578947368425,32.83082633584993,1449.5,1438.1315789473683,0.434
249NV,105,50,0.0,12.58095238095238,40.51513984643958,1436.0,1485.0190476190476,0.476
250NV,104,52,0.5,15.346153846153847,42.48923775345123,1510.5,1493.0288461538462,0.5
251NV,110,55,0.5,10.054545454545455,30.710198038322073,1604.0,1538.8,0.5
252NV,97,42,-2.0,8.927835051546392,25.33083077935875,1415.0,1452.2474226804125,0.433
253NV,83,43,2.0,19.132530120481928,49.05342311327701,1457.0,1524.421686746988,0.518
254NV,83,41,0.0,7.9397590361445785,27.734520797080076,1432.0,1462.6626506024097,0.494
255NV,90,43,0.0,6.966666666666667,29.915029479578404,1548.5,1561.588888888889,0.478
256NV,82,38,-1.0,9.707317073170731,38.86649761886813,1530.0,1481.060975609756,0.463
257NV,65,27,-2.0,8.6,33.47657763272703,1555.0,1518.1076923076923,0.415
258NV,65,20,-3.0,11.553846153846154,46.3060575037269,1426.0,1415.0307692307692,0.308
259NV,41,20,-2.0,9.121951219512194,24.843706569221126,1803.0,1640.7317073170732,0.488
260NV,46,20,-2.0,12.195652173913043,37.397931948299785,1679.0,1641.108695652174,0.435
261NV,80,45,2.0,26.1625,56.90686233673984,1510.5,1579.55,0.562
262NV,55,30,4.0,15.090909090909092,37.072637772088335,1732.0,1596.7454545454545,0.545
271NV,54,20,-1.5,10.018518518518519,42.64265325948989,1500.0,1505.037037037037,0.37
272NV,74,39,2.0,15.824324324324325,43.10145981957345,1439.0,1501.1486486486488,0.527
273NV,54,29,2.0,11.333333333333334,32.61554207591315,1380.0,1475.2222222222222,0.537
274NV,40,22,3.0,18.6,41.362562039379746,1478.0,1453.25,0.55
275NV,12,5,-2.5,11.083333333333334,34.57918010840768,1403.0,1375.0833333333333,0.417
276NV,42,24,4.5,19.738095238095237,46.81153679138505,1630.0,1603.5,0.571
279NV,14,7,0.5,2.0,14.581336859677323,1614.0,1548.7857142857142,0.5
280NV,8,6,28.0,31.125,33.357104619127675,1396.0,1301.125,0.75
282NV,7,3,-10.0,0.42857142857142855,19.645670794156686,1319.0,1394.142857142857,0.429
283NV,3,3,68.0,102.66666666666667,105.36761045659777,1151.0,1103.6666666666667,1.0
