,airport_id,airport_code,city,state,median_d_delay,median_a_delay,dep_flight_count,arr_flight_count,std_d_delay,std_a_delay
0,10135,ABE,Allentown/Bethlehem/Easton, PA,-4.0,-9.0,90,104,56.55,56.33
1,10136,ABI,Abilene, TX,-1.0,-5.0,25,38,13.64,13.65
2,10140,ABQ,Albuquerque, NM,-2.0,-4.0,434,437,34.03,34.81
3,10141,ABR,Aberdeen, SD,-0.5,-6.0,14,9,39.93,42.34
4,10146,ABY,Albany, GA,-3.5,-3.0,15,14,124.23,124.32
5,10154,ACK,Nantucket, MA,-4.0,-16.0,24,29,46.88,54.35
6,10155,ACT,Waco, TX,-1.0,-1.0,21,23,60.51,59.62
7,10157,ACV,Arcata/Eureka, CA,-4.0,-14.0,25,26,57.57,62.35
8,10158,ACY,Atlantic City, NJ,-2.5,-2.0,47,51,30.7,30.28
9,10165,ADK,Adak Island, AK,11.0,-12.5,3,2,11.02,22.05
10,10170,ADQ,Kodiak, AK,-11.0,-7.0,9,9,5.96,3.44
11,10185,AEX,Alexandria, LA,-6.0,-3.5,46,49,20.58,25.39
12,10208,AGS,Augusta, GA,-3.0,-8.0,95,85,48.0,51.08
13,10245,AKN,King Salmon, AK,-6.5,-4.0,2,4,3.54,2.12
14,10257,ALB,Albany, NY,-3.0,-5.0,263,260,33.64,39.51
15,10268,ALO,Waterloo, IA,-4.5,-5.0,16,7,7.35,12.77
16,10275,ALW,Walla Walla, WA,-2.5,-3.5,8,18,3.85,7.96
17,10279,AMA,Amarillo, TX,-5.0,-5.0,103,94,37.5,37.26
18,10299,ANC,Anchorage, AK,-6.0,-8.0,329,316,38.54,40.06
19,10333,APN,Alpena, MI,-6.0,-18.0,11,13,116.04,120.32
20,10361,ART,Watertown, NY,-6.0,-8.0,9,8,36.26,38.82
21,10372,ASE,Aspen, CO,-5.0,-6.0,118,111,111.03,114.08
22,10397,ATL,Atlanta, GA,-1.0,-8.0,6347,6314,38.74,40.12
23,10408,ATW,Appleton, WI,-5.0,-8.0,115,111,38.91,41.69
24,10409,ATY,Watertown, SD,-9.0,-14.0,3,6,3.51,7.37
25,10423,AUS,Austin, TX,-2.0,-5.0,1021,1056,42.95,45.67
26,10431,AVL,Asheville, NC,-5.0,-3.0,153,148,176.54,177.83
27,10434,AVP,Scranton/Wilkes-Barre, PA,-7.0,-4.0,86,81,53.27,56.19
